Customer_Id,Birth_Year,Education_Quallification,Marital_Status, Income ,No_of_Kids,No_of_Teens,Date_Of_Response,Recency(days),Amount_spent_on_Wines,Amount_spent_on_Fruits,Amount_spent_on_Meat_Products,Amount_spent_on_Fish_Products,Amount_spent_on_Sweet_Products,Amount_spent_on_Gold_Products,Purchases_with_Discount,Online_Purchases,Catalog_Purchases,Store_Purchases,Monthly_Web_Visits,Accepted_Cmp3,Accepted_Cmp4,Accepted_Cmp5,Accepted_Cmp1,Accepted_Cmp2,Response,Complain,Country
1826,1970,Graduation,Divorced,"$84,835 ",0,0,16/06/2014,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,Spain
1,1961,Graduation,Single,"$57,091 ",0,0,15/06/2014,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,Canada
10476,1958,Graduation,Married,"$67,267 ",0,1,13/05/2014,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,United States
1386,1967,Graduation,relationship,"$32,474 ",1,1,5/11/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,Australia
5371,1989,Graduation,Single,"$21,474 ",1,0,4/8/2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,Spain
7348,1958,PhD,Single,"$71,691 ",0,0,17/03/2014,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,Spain
4073,1954,postgraduate,Married,"$63,564 ",0,0,29/01/2014,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,Germany
1991,1967,Graduation,relationship,"$44,931 ",0,1,18/01/2014,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,Spain
4047,1954,PhD,Married,"$65,324 ",0,1,1/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,United States
9477,1954,PhD,Married,"$65,324 ",0,1,1/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,India
2079,1947,postgraduate,Married,"$81,044 ",0,0,27/12/2013,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,United States
5642,1979,postgraduate,relationship,"$62,499 ",1,0,12/9/2013,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,Spain
10530,1959,PhD,Widow,"$67,786 ",0,0,12/7/2013,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,India
2964,1981,Graduation,Married,"$26,872 ",0,0,16/10/2013,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,Canada
10311,1969,Graduation,Married,"$4,428 ",0,1,10/5/2013,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,Spain
837,1977,Graduation,Married,"$54,809 ",1,1,9/11/2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,Spain
